Type,Product,Started Date,Completed Date,Description,Amount,Fee,Currency,State,Balance
CARD_PAYMENT,Current,2024-01-08 20:18:58,2024-01-09 11:58:22,Shop,-13.27,0.00,EUR,COMPLETED,19.79
CARD_PAYMENT,Current,2024-01-09 20:02:00,2024-01-10 02:50:21,Texts,-4.59,0.00,EUR,COMPLETED,15.20
CARD_PAYMENT,Current,2024-01-23 05:03:39,2024-01-23 14:30:20,Discord,-9.99,0.00,EUR,COMPLETED,5.21
CARD_PAYMENT,Current,2024-02-09 21:01:03,2024-02-10 02:54:27,Texts,-4.65,0.00,EUR,COMPLETED,0.56
TOPUP,Current,2024-02-20 05:29:39,2024-02-20 05:29:40,Shop Pay Top-Up,20.00,0.00,EUR,COMPLETED,20.56
TOPUP,Current,2024-03-01 03:43:20,2024-03-01 03:43:22,Shop Pay Top-Up,20.00,0.00,EUR,COMPLETED,20.56
TOPUP,Current,2024-03-01 03:43:50,2024-03-01 03:43:51,Shop Pay Top-Up,50.00,0.00,EUR,COMPLETED,70.56
TOPUP,Current,2024-03-01 03:44:03,2024-03-01 03:44:10,Shop Pay Top-Up,50.00,0.00,EUR,COMPLETED,120.56
TOPUP,Current,2024-03-01 03:44:25,2024-03-01 03:44:27,Shop Pay Top-Up,50.00,0.00,EUR,COMPLETED,170.56
TOPUP,Current,2024-03-01 03:44:38,2024-03-01 03:44:41,Shop Pay Top-Up,50.00,0.00,EUR,COMPLETED,220.56
CARD_PAYMENT,Current,2024-03-01 03:45:35,2024-03-01 15:53:12,itch.io,-185.48,0.00,EUR,COMPLETED,35.08
CARD_PAYMENT,Current,2024-03-01 05:12:18,2024-03-01 15:53:18,Discord,-9.99,0.00,EUR,COMPLETED,25.09
CARD_PAYMENT,Current,2024-03-01 06:49:02,2024-03-02 11:03:43,Shop,-13.27,0.00,EUR,COMPLETED,11.82
CARD_PAYMENT,Current,2024-03-09 21:01:17,2024-03-10 03:44:40,Texts,-4.59,0.05,EUR,COMPLETED,7.18
TOPUP,Current,2024-03-23 23:36:34,2024-03-23 23:36:36,Shop Pay Top-Up,20.00,0.00,EUR,COMPLETED,27.18
TOPUP,Current,2024-03-30 15:52:13,2024-03-30 15:52:14,Shop Pay Top-Up,20.00,0.00,EUR,COMPLETED,27.18
CARD_PAYMENT,Current,2024-03-30 17:22:55,2024-03-31 12:07:20,Shop,-13.27,0.00,EUR,COMPLETED,13.91
CARD_PAYMENT,Current,2024-03-30 15:54:15,2024-03-31 15:34:28,Online,-13.18,0.13,EUR,COMPLETED,0.60
TOPUP,Current,2024-04-10 17:20:08,2024-04-10 17:20:09,Shop Pay Top-Up,20.00,0.00,EUR,COMPLETED,20.60
CARD_PAYMENT,Current,2024-04-10 17:20:25,2024-04-12 10:56:22,Groceries,-14.53,0.00,EUR,COMPLETED,6.07
CARD_PAYMENT,Current,2024-04-12 23:55:47,2024-04-13 15:57:40,Texts,-4.72,0.05,EUR,COMPLETED,1.30
